Dates,Sales,Sales First Difference,Seasonal First Difference,forecast
2007-01-01,12685,,,
2007-02-01,9793,-2892.0,,
2007-03-01,11264,1471.0,,
2007-04-01,8854,-2410.0,,
2007-05-01,12007,3153.0,,
2007-06-01,11083,-924.0,,
2007-07-01,12062,979.0,,
2007-08-01,10786,-1276.0,,
2007-09-01,9340,-1446.0,,
2007-10-01,11646,2306.0,,
2007-11-01,10453,-1193.0,,
2007-12-01,9222,-1231.0,,
2008-01-01,9901,679.0,-2784.0,
2008-02-01,10567,666.0,774.0,
2008-03-01,9506,-1061.0,-1758.0,
2008-04-01,11704,2198.0,2850.0,
2008-05-01,10217,-1487.0,-1790.0,
2008-06-01,9670,-547.0,-1413.0,
2008-07-01,9605,-65.0,-2457.0,
2008-08-01,7833,-1772.0,-2953.0,
2008-09-01,8453,620.0,-887.0,
2008-10-01,8390,-63.0,-3256.0,
2008-11-01,6952,-1438.0,-3501.0,
2008-12-01,7819,867.0,-1403.0,
2009-01-01,5353,-2466.0,-4548.0,
2009-02-01,6287,934.0,-4280.0,
2009-03-01,7601,1314.0,-1905.0,
2009-04-01,7504,-97.0,-4200.0,
2009-05-01,7421,-83.0,-2796.0,
2009-06-01,7581,160.0,-2089.0,
2009-07-01,9394,1813.0,-211.0,
2009-08-01,7967,-1427.0,134.0,
2009-09-01,9530,1563.0,1077.0,
2009-10-01,10187,657.0,1797.0,
2009-11-01,9600,-587.0,2648.0,
2009-12-01,10250,650.0,2431.0,
2010-01-01,9697,-553.0,4344.0,
2010-02-01,9094,-603.0,2807.0,
2010-03-01,11486,2392.0,3885.0,
2010-04-01,10677,-809.0,3173.0,
2010-05-01,9896,-781.0,2475.0,
2010-06-01,11119,1223.0,3538.0,
2010-07-01,11507,388.0,2113.0,
2010-08-01,10414,-1093.0,2447.0,
2010-09-01,11137,723.0,1607.0,
2010-10-01,10683,-454.0,496.0,
2010-11-01,11908,1225.0,2308.0,
2010-12-01,10136,-1772.0,-114.0,
2011-01-01,10372,236.0,675.0,
2011-02-01,10543,171.0,1449.0,
2011-03-01,12901,2358.0,1415.0,
2011-04-01,11330,-1571.0,653.0,
2011-05-01,13005,1675.0,3109.0,
2011-06-01,10354,-2651.0,-765.0,
2011-07-01,11189,835.0,-318.0,
2011-08-01,11464,275.0,1050.0,
2011-09-01,11737,273.0,600.0,
2011-10-01,11543,-194.0,860.0,
2011-11-01,12357,814.0,449.0,
2011-12-01,11550,-807.0,1414.0,
2012-01-01,10838,-712.0,466.0,
2012-02-01,10925,87.0,382.0,
2012-03-01,13051,2126.0,150.0,
2012-04-01,10876,-2175.0,-454.0,
2012-05-01,12612,1736.0,-393.0,
